"id:ID","registration_status","effective_date","until_date","uuid"
"7059","Draft","2022-09-01","","dff4891c-feb7-4662-9e34-f695d9c76126"
"7060","Draft","2022-09-01","","d6236455-39cf-46a2-8d38-e9f8efe8fa24"
"7061","Draft","2022-09-01","","9ce7eb3c-fd75-4042-a351-f077de5b6fa7"
"7062","Draft","2022-09-01","","19ed3a09-5603-477e-a330-506c03cfc287"
"7063","Draft","2022-09-01","","16edd148-e866-4f4f-a6bd-b53078605698"
"7064","Draft","2022-09-01","","20313b07-139e-44ae-a04c-a8bd6c4cf7be"
"7065","Draft","2022-09-01","","2f962e4b-61d2-4529-a14b-8ee07e2d20d6"
"7066","Draft","2022-09-01","","70c6c800-972a-439d-9864-d2ff19333648"
"7067","Draft","2022-09-01","","0893ba1e-6139-4aba-94e0-6ae607363fde"
"7068","Draft","2022-09-01","","638c2892-db8d-428a-91a3-a3ac02980cff"
"7069","Draft","2022-09-01","","67731fa8-e53e-4560-aa4c-b4f796d5ee34"
"7070","Draft","2022-09-01","","cdd45b3e-496c-4fd3-973e-8e5b0e329c3a"
"7071","Draft","2022-09-01","","8fe43b79-9a30-41b6-9b11-82fb8f6e0cfc"
"7072","Draft","2022-09-01","","bcc194f0-cc5d-45e3-9acc-4860575e5811"
"7073","Draft","2022-09-01","","3344f5aa-8010-4662-b629-dad754362f82"
"7074","Draft","2022-09-01","","a85aa612-c2a7-4900-8cca-e66c746ee127"
"7075","Draft","2022-09-01","","63f4fb58-3c38-47ac-8089-9bf79f7653e4"
"7076","Draft","2022-09-01","","175982e1-8824-4d93-af91-d94f1866d17f"
"7077","Draft","2022-09-01","","aeb1c583-b8aa-489f-893a-5add530c39be"
"7078","Draft","2022-09-01","","d636083d-a9ba-4c36-800d-6179d58281b9"
"7079","Draft","2022-09-01","","a37a93f8-0b77-4a7f-842d-2ce3a735e334"
"7080","Draft","2022-09-01","","d022c285-60b8-485f-9e80-81465bc7703b"
"7081","Draft","2022-09-01","","30790dbb-0363-432b-bdb7-73871eacc50c"
"7082","Draft","2022-09-01","","90a22b83-4bf6-44e1-af24-30e759ce98a4"
"7083","Draft","2022-09-01","","15204f3a-8828-4dbd-9d22-92f3bb74e0a7"
"7084","Draft","2022-09-01","","085ccc19-ba18-4c37-a38f-e048a367275a"
"7085","Draft","2022-09-01","","47f7c8b6-95bc-4575-ae54-c7ca68b29ce5"
"7086","Draft","2022-09-01","","567d7116-b13b-45e5-bd25-4f74f57ef841"
"7087","Draft","2022-09-01","","8f67d480-075b-4bc0-9bb5-fba175f23df7"
"7088","Draft","2022-09-01","","1129c6c5-4ef9-405c-863b-f22d1b7cd523"
"7089","Draft","2022-09-01","","18d766bf-4f08-424f-99b1-894a5e63b680"
"7090","Draft","2022-09-01","","e7387b76-b5f1-4922-b111-f49c0b70ba65"
"7091","Draft","2022-09-01","","2ea73755-7fe6-4b1a-a19b-7cacbc36a4a2"
"7092","Draft","2022-09-01","","cbfa1331-4dba-4b94-a674-69018c74da5b"
"7093","Draft","2022-09-01","","6242dcad-4ebc-4393-b9e7-769dac875efe"
"7094","Draft","2022-09-01","","405805c7-561c-45f9-a4a9-b151b9996c66"
"7095","Draft","2022-09-01","","9603b286-5607-4f61-9029-094d33f65775"
"7096","Draft","2022-09-01","","d67c5fc4-35a5-4497-91ef-250defdbd740"
"7097","Draft","2022-09-01","","0ce57ae6-6d12-4f22-866a-2ae90de8bd4f"
"7098","Draft","2022-09-01","","a46bbcc8-ea51-45c9-a7fd-39e0dea4211c"
"7099","Draft","2022-09-01","","b335ff0d-919a-4475-956e-1cc8fe9fa8fd"
"7100","Draft","2022-09-01","","a64684e3-1573-4037-b5e9-1b08a73257db"
"7101","Draft","2022-09-01","","dc77e360-2d4b-4be6-892d-a174a731971d"
"7102","Draft","2022-09-01","","09c949ac-9617-4034-be1f-f6f9bbf1ce6e"
"7103","Draft","2022-09-01","","97926a30-7cc9-4b16-94f6-7c83b1dd7da8"
"7104","Draft","2022-09-01","","3247adf1-2827-448a-b1e3-1149b4c328bd"
