"id:ID","uri","uuid"
"2014","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","aa1d7c09-9e42-42a3-90bd-26dd3ced1491"
"2015","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","0bd82678-7e73-4549-b3a3-07ec612a186a"
"2016","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","a7f1e907-c204-47ae-90c4-507836f7d786"
"2017","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","4e35418a-bb91-441e-b8f9-2d630ef50e40"
"2018","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","354537e1-fdef-42f7-a2bf-490906ca692e"
"2019","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","3fae7e7f-bfec-40f1-aa7f-38f133a21394"
"2020","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","4824e0ed-d461-453f-929d-d0eb45614393"
"2021","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","44921c8f-e32e-4abf-971b-5d82ac3af79b"
"2022","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","3f549c43-23b0-44e3-9e1d-bc2c9e4f88e4"
"2023","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","f208aa67-fbf2-4307-9ccd-9f4f6cc95c5a"
"2024","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","04cc2113-9bc4-4fc3-996e-e3c4a0e49526"
"2025","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","dc02b779-148e-4a1d-863c-e1c720d338dc"
"2026","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","e999fcf2-841e-409d-805f-79c5ea89f6ce"
"2027","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","4b9b2d37-4f6f-400d-be1d-299648a874d7"
"2028","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","93578a64-57d1-4d83-a7ca-5af62e491cfd"
"2029","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","ed619235-f109-4841-8bf7-e5c13b1978ec"
"2030","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","3f51b033-5f35-475c-9d75-8a6a8a86e880"
"2031","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","64dd1ac5-09a7-4df4-94d5-22502666079c"
"2032","http://ra.d4k.dk/dataset/ns/d4k-bc-namespace","4fe54602-d869-4533-ad01-cdddd9d2e352"
